,genre,imdb_id,imdb_rating,imdb_votes,rated,released,runtime,title,year,ebay,etsy,bonanza
223,"Animation, Adventure, Family, Fantasy",tt4494948,5.7,305,TV-Y,24 Aug 2015,30 min,Shimmer and Shine,2015–,446,6,0
224,"Family, Reality-TV",tt4658614,7.0,94,TV-G,26 Apr 2015,60 min,Spring Baking Championship,2015–,0,54708,0
225,Talk-Show,tt4634294,7.8,567,,20 Apr 2015,,StarTalk,2015–,0,54708,0
226,"Action, Adventure, Drama, Sci-Fi",tt4016454,6.4,"98,689",TV-PG,26 Oct 2015,43 min,Supergirl,2015–,2334,77,11
227,"Animation, Comedy",tt4843640,7.5,887,,08 Oct 2015,30 min,SuperMansion,2015–,17,54708,2
228,Comedy,tt4477976,7.8,"16,639",TV-14,30 Nov 2015,22 min,Superstore,2015–,106,6,14
229,Comedy,tt6210390,7.9,231,,16 Jan 2015,30 min,This Is Not Happening,2015–,0,14,0
230,Documentary,tt4905966,7.3,43,,08 Aug 2015,30 min,Valerie's Home Cooking,2015–,0,54708,0
231,News,tt4679468,8.4,5,,19 Apr 2015,30 min,Wall Street Week,2015–,1,54708,1
232,"Animation, Short, Comedy",tt5172470,8.0,21,,02 Nov 2015,4 min,We Bare Bears: Log Ride,2015,0,2,0
233,"Comedy, Romance",tt3288518,7.8,"14,671",TV-14,24 Feb 2015,22 min,Younger,2015–,44,7,24
234,"News, Talk-Show",tt6341912,6.4,83,TV-G,06 Sep 2016,30 min,The 11th Hour with Brian Williams,2016–,0,0,0
235,Reality-TV,tt5564124,7.8,"1,355",TV-14,10 Mar 2016,42 min,60 Days In,2016–,0,54708,0
236,Comedy,tt5396394,7.3,"5,990",TV-PG,11 Oct 2016,30 min,American Housewife,2016–,0,3,0
237,"Crime, Drama",tt5574490,8.2,"19,509",TV-MA,14 Jun 2016,60 min,Animal Kingdom,2016–,9,14,0
238,"Animation, Adventure, Comedy, Family, Musical, Mystery",tt5846856,8.0,483,TV-Y,12 Aug 2016,24 min,Ask the StoryBots,2016–2018,0,54708,0
239,"Comedy, Drama, Music",tt4288182,8.6,"41,337",TV-MA,06 Sep 2016,30 min,Atlanta,2016–,108,41,3
240,Reality-TV,tt5665418,7.1,498,TV-14,03 May 2016,43 min,Below Deck Mediterranean,2016–,0,1,0
241,"Animation, Action, Comedy, Family, Sci-Fi",tt6148376,2.5,"1,585",TV-Y7-FV,10 Apr 2017,12 min,Ben 10,2016–,869,3,0
242,"Comedy, Drama",tt4370596,7.7,"9,809",TV-MA,08 Sep 2016,22 min,Better Things,2016–,6,3,0
243,Drama,tt4270492,8.4,"58,386",TV-MA,01 Jan 2016,60 min,Billions,2016–,351,5,3
244,"Comedy, Crime, Drama",tt5827228,6.9,"12,223",TV-14,20 Sep 2016,60 min,Bull,2016–,1394,53,2
245,"Drama, Family",tt5151816,7.6,"3,029",TV-PG,14 Aug 2016,42 min,Chesapeake Shores,2016–,0,54708,0
246,Documentary,tt5351176,7.2,569,TV-14,17 Jan 2016,30 min,The Circus: Inside the Greatest Political Show on Earth,2016–,0,0,0
247,"Comedy, Game-Show",tt5657014,2.0,215,TV-14,21 Apr 2016,30 min,Comedy Knockout,2016–,0,54708,0
248,Crime,tt5545018,7.2,88,TV-14,27 Feb 2016,60 min,Copycat Killers,2016–,0,54708,0
249,"Sport, Talk-Show",tt5841090,3.5,101,TV-PG,05 Jul 2016,22 min,Crashletes,2016–,1,54708,0
250,"Drama, History",tt4786824,8.7,"86,743",TV-MA,04 Nov 2016,58 min,The Crown,2016–,74,47,1
251,Thriller,tt5699846,8.2,98,,19 Jun 2016,42 min,Declassified: Untold Stories of American Spies,2016–,0,54708,0
252,"Comedy, Reality-TV",tt5512420,6.7,182,TV-PG,14 Apr 2016,22 min,The Dude Perfect Show,2016–,0,112,0
253,"Animation, Adventure, Family, Fantasy, Musical",tt4549142,6.4,886,TV-Y,22 Jul 2016,24 min,Elena of Avalor,2016–,213,3,0
254,"Documentary, Biography, Crime",tt5489746,8.1,405,,17 Jan 2016,43 min,Evil Lives Here,2016–,0,54708,0
255,"Comedy, News, Talk-Show",tt5323988,5.9,"5,311",TV-MA,08 Feb 2016,21 min,Full Frontal with Samantha Bee,2016–,2,2235,0
256,"Comedy, Family",tt3986586,6.8,"21,742",TV-G,26 Feb 2016,30 min,Fuller House,2016–,17,40,1
257,Drama,tt4687880,8.2,"25,488",TV-MA,14 Oct 2016,60 min,Goliath,2016–,675,21,0
258,Sport,tt6459140,7.1,159,,01 Aug 2016,180 min,Good Morning Football,2016–,0,54708,0
259,"Comedy, Drama, Fantasy, Romance",tt4955642,8.1,"64,480",TV-PG,19 Sep 2016,22 min,The Good Place,2016–,119,194,0
260,Drama,tt4971144,7.4,"3,106",TV-14,21 Jun 2016,60 min,Greenleaf,2016–,0,6,0
261,Reality-TV,tt5035202,3.6,131,,07 Jan 2016,43 min,Growing Up Hip Hop,2016–,0,5,0
262,,tt6039466,7.3,47,,01 Jan 2016,,Hollywood Medium with Tyler Henry,2016–,0,936648,0
263,"Comedy, Romance",tt5024912,7.8,"9,359",TV-MA,09 Oct 2016,30 min,Insecure,2016–,69,12,8
264,Comedy,tt6211586,7.4,223,,26 Oct 2016,,Jon Glaser Loves Gear,2016–,0,82,0
265,"Animation, Action, Fantasy",tt6035850,7.1,171,TV-Y7,02 Sep 2016,20 min,Kulipari: An Army of Frogs,2016–,0,54708,0
266,"Action, Adventure, Drama, Sci-Fi",tt4532368,6.8,"82,455",TV-14,21 Jan 2016,42 min,DC's Legends of Tomorrow,2016–,24,24,0
267,"Animation, Action, Adventure, Comedy, Family, Fantasy, Music",tt3793630,6.5,"1,216",TV-Y,15 Jan 2016,30 min,The Lion Guard,2016–,188,1,0
268,Music,tt6320502,6.7,6,,11 Dec 2016,,Lip Sync Battle Shorties,2016,0,54708,0
269,"Family, Reality-TV",tt5347876,7.4,429,TV-G,08 Mar 2016,60 min,Little Big Shots,2016–,1,54708,0
270,Reality-TV,tt5690880,5.3,219,,27 Jan 2016,40 min,Little Women: Atlanta,2016–,0,54708,0
271,"Crime, Reality-TV",tt6225166,8.3,833,,28 Oct 2016,135 min,Live PD,2016–,110,2,1
272,,tt5539586,8.7,14,,16 Mar 2016,43 min,Long Lost Family,2016–,0,217,0
273,"Animation, Short, Action, Adventure, Comedy, Family",tt4859164,7.3,"2,760",TV-Y7,02 May 2016,22 min,The Loud House,2016–,14,3,1
274,"Horror, Thriller",tt5108516,7.5,29,,,,Lucifer,2016,1361,107,11
275,"Action, Adventure, Drama",tt1399045,5.2,"14,866",TV-14,23 Sep 2016,43 min,MacGyver,2016–,379,9,11
276,Comedy,tt5536400,7.0,"6,099",TV-PG,24 Oct 2016,30 min,Man with a Plan,2016–,0,43,0
277,"Adventure, Drama, Sci-Fi",tt4939064,7.5,"10,715",TV-PG,14 Nov 2016,60 min,Mars,2016–,664,58,4
278,"Comedy, Game-Show",tt5672484,6.0,809,TV-14,26 Jun 2016,60 min,Match Game,2016–,115,9,2
279,"Action, Adventure, Comedy, Family, Sci-Fi",tt5568740,6.2,340,TV-Y7,11 Nov 2016,22 min,Mech-X4,2016–,0,54708,0
280,"Animation, Action, Comedy, Family, Fantasy",tt5439480,7.6,"1,321",TV-Y7,03 Oct 2016,12 min,Milo Murphy's Law,2016–,0,54708,0
281,Reality-TV,tt6215600,7.1,257,,01 May 2016,40 min,Outdaughtered,2016–,0,54708,0
282,Reality-TV,tt5725682,8.3,597,TV-14,24 Jul 2016,60 min,Ozzy & Jack's World Detour,2016–,0,0,0
283,"Animation, Action, Comedy, Family, Fantasy, Sci-Fi",tt4718304,3.6,"2,702",TV-Y7-FV,04 Apr 2016,60 min,The Powerpuff Girls,2016–,402,16,0
284,"Adventure, Drama, Fantasy, Horror, Mystery",tt5016504,8.0,"59,693",TV-MA,22 May 2016,60 min,Preacher,2016–,507,33,4
285,"Short, Action, Sci-Fi",tt5863706,,,,02 Jul 2016,11 min,Pyramid Above Saint-Petersburg,2016,0,54708,0
286,"Action, Crime, Drama, Thriller",tt1064899,7.9,"12,482",TV-14,23 Jun 2016,42 min,Queen of the South,2016–,1,1,0
287,Drama,tt4419214,7.5,"3,356",TV-14,06 Sep 2016,60 min,Queen Sugar,2016–,64,2,1
288,"Comedy, Drama",tt4998212,7.6,"27,227",TV-MA,01 Apr 2016,30 min,The Ranch,2016–,31,132,0
289,Reality-TV,tt5637842,6.6,94,,01 Jan 2016,40 min,The Rap Game,2016–,0,4,0
290,Animation,tt5292052,7.5,55,TV-Y,15 Feb 2016,26 min,Ready Jet Go!,2016–,0,54708,0
291,Reality-TV,tt5512352,5.0,331,TV-14,11 Apr 2016,43 min,The Real Housewives of Dallas,2016–2019,0,1,0
292,Reality-TV,tt5327970,4.1,410,TV-14,17 Jan 2016,43 min,The Real Housewives of Potomac,2016–,0,1,0
293,Reality-TV,tt5547946,8.2,908,,12 Jun 2016,43 min,Ride with Norman Reedus,2016–,0,69,0
294,Drama,tt5336934,7.4,347,TV-14,06 Mar 2016,42 min,Saints & Sinners,2016–,0,55,0
295,"Comedy, Crime, Drama, Mystery, Romance, Thriller",tt5460226,7.5,"3,890",TV-MA,17 Nov 2016,24 min,Search Party,2016–,4,3,0
296,"Action, Crime, Drama, Romance",tt5676412,6.8,316,TV-14,19 Jul 2016,44 min,Sin Senos Sí Hay Paraíso,2016–,0,0,0
297,"Crime, Thriller",tt5028002,8.0,"10,256",Not Rated,06 Sep 2016,44 min,StartUp,2016–,0,3,0
298,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",tt4574334,8.8,"652,903",TV-14,15 Jul 2016,51 min,Stranger Things,2016–,2497,1432,55
299,"Comedy, Drama, Romance",tt5555260,8.7,"74,051",TV-14,20 Sep 2016,45 min,This Is Us,2016–,62,1105,6
300,"Comedy, Game-Show, Mystery",tt5817158,6.2,271,,14 Jun 2016,42 min,To Tell the Truth,2016–,3,4,0
301,"News, Talk-Show",tt6238614,7.6,"1,710",,14 Nov 2016,60 min,Tucker Carlson Tonight,2016–,0,54708,0
302,Documentary,tt4515676,6.6,486,,23 Apr 2016,,United Shades of America,2016–,0,9,0
303,"Action, Drama, Fantasy, Horror",tt5197820,6.1,"14,364",TV-14,23 Sep 2016,60 min,Van Helsing,2016–,8,1,0
304,Game-Show,tt6304194,6.1,356,,19 Dec 2016,42 min,The Wall,2016–,102,7936,7
305,"Drama, Mystery, Sci-Fi, Western",tt0475784,8.8,"359,026",TV-MA,02 Oct 2016,62 min,Westworld,2016–,1196,60,5
306,"Action, Drama, Fantasy, Mystery, Thriller, Western",tt4878326,7.4,"15,141",TV-14,01 Apr 2016,60 min,Wynonna Earp,2016–,59,19,0
307,"Comedy, Drama, Romance",tt5179408,7.1,"7,282",TV-MA,22 Mar 2016,28 min,You Me Her,2016–,0,9,0
308,"Drama, Mystery",tt1837492,7.9,"221,073",TV-MA,31 Mar 2017,60 min,13 Reasons Why,2017–,240,10,0
309,"Crime, Drama, Mystery, Thriller",tt6794990,7.3,"8,495",TV-MA,18 Sep 2017,60 min,Absentia,2017–,0,54708,0
310,"Drama, Fantasy, Mystery",tt1898069,7.9,"64,474",TV-MA,30 Apr 2017,60 min,American Gods,2017–,203,11,0
311,Comedy,tt7552590,7.8,536,TV-14,24 Oct 2017,24 min,At Home with Amy Sedaris,2017–,0,1,0
312,"Comedy, Drama",tt6315640,8.3,"39,117",TV-MA,11 Aug 2017,30 min,Atypical,2017–,8,54709,0
313,"Game-Show, Music",tt6917254,6.4,375,TV-PG,25 May 2017,60 min,Beat Shazam,2017–,0,54708,1
314,"News, Talk-Show",tt7174218,9.1,"1,024",,24 Jul 2017,60 min,The Beat with Ari Melber,2017–,0,66,0
315,Reality-TV,tt7603564,6.2,33,,27 Sep 2017,,Best Baker in America,2017–,0,5,0
316,"Animation, Short, Action, Adventure, Comedy, Family, Sci-Fi",tt5515212,7.2,904,TV-Y7,20 Nov 2017,21 min,Big Hero 6: The Series,2017–,12,72,0
317,"Crime, Drama, Mystery",tt3920596,8.6,"121,691",TV-MA,19 Feb 2017,60 min,Big Little Lies,2017–,114,5,0
318,"Animation, Comedy, Romance",tt6524350,8.0,"38,188",TV-MA,29 Sep 2017,30 min,Big Mouth,2017–,7,13,0
319,Drama,tt6116060,8.0,"7,411",TV-14,20 Jun 2017,45 min,The Bold Type,2017–,1,10,0
320,"Comedy, Drama, Sport",tt5722190,8.1,"3,370",TV-MA,05 Apr 2017,30 min,Brockmire,2017–,0,54708,0
321,"Animation, Action, Adventure, Fantasy, Horror",tt6517102,8.1,"25,210",TV-MA,07 Jul 2017,23 min,Castlevania,2017–,6,1,0
322,"Comedy, Crime, Drama",tt5640558,7.3,"4,711",TV-MA,11 Jun 2017,45 min,Claws,2017–,113,121,0
323,News,tt7317360,5.2,131,,28 Aug 2017,60 min,Cuomo Prime Time,2017–,0,54708,0
324,Talk-Show,tt6992876,7.2,88,TV-G,09 May 2017,60 min,Deadline: White House,2017–,0,54708,0
325,"Comedy, Drama",tt5707802,6.3,"19,296",TV-MA,28 Apr 2017,30 min,Dear White People,2017–,6,1,0
326,Reality-TV,tt6961912,7.3,17,TV-14,01 Mar 2017,43 min,The Deed,2017–,109,786,0
327,Drama,tt4998350,8.1,"18,600",TV-MA,25 Aug 2017,60 min,The Deuce,2017–,274,3,0
328,"Animation, Adventure, Family, Fantasy",tt7050978,6.7,58,TV-Y,29 Jun 2017,22 min,Dorothy and the Wizard of Oz,2017–,1,14,0
329,Music,tt6396094,4.0,328,TV-14,24 Oct 2017,30 min,Drop the Mic,2017–,0,54708,0
330,"Animation, Short, Action, Adventure, Comedy, Family, Fantasy, Mystery, Sci-Fi",tt5531466,8.2,"4,185",TV-Y7,12 Aug 2017,21 min,DuckTales,2017–,476,16,8
331,Drama,tt6128300,7.3,"10,620",TV-14,11 Oct 2017,42 min,Dynasty,2017–,775,165,15
332,Game-Show,tt7369770,6.0,596,,18 Dec 2017,60 min,Ellen's Game of Games,2017–,0,2,0
333,"Biography, Drama",tt1984119,8.5,"14,490",TV-MA,05 Mar 2017,45 min,Feud: Bette and Joan,2017–,3,1,0
334,Reality-TV,tt6597216,6.8,120,,20 Jul 2017,,Flip or Flop Atlanta,2017–,0,68,0
335,Reality-TV,tt7577814,5.1,428,,27 Nov 2017,40 min,MTV Floribama Shore,2017–,0,54708,0
336,News,tt7406432,5.9,77,,30 Oct 2017,60 min,Fox News @ Night,2017–,0,5,0
337,"Action, Adventure, Comedy, Fantasy, Sci-Fi",tt4975856,7.8,"15,888",TV-MA,14 Nov 2017,30 min,Future Man,2017–,50,97,0
338,"Biography, Drama, History",tt5673782,8.4,"14,385",TV-14,25 Apr 2017,43 min,Genius,2017–,413,24,5
339,"Comedy, Crime",tt5761496,8.1,"3,746",TV-MA,,60 min,Get Shorty,2017–,3,54708,1
340,"Short, Comedy, Drama, Sport",tt5770786,8.0,"33,831",TV-MA,23 Jun 2017,35 min,GLOW,2017–,555,78,5
341,Drama,tt6470478,8.2,"46,930",TV-14,25 Sep 2017,41 min,The Good Doctor,2017–,131,9,0
342,"Crime, Drama",tt5853176,8.3,"15,639",TV-MA,19 Feb 2017,45 min,The Good Fight,2017–,16,54708,0
343,Drama,tt6076336,7.2,"3,870",,08 Sep 2017,25 min,Greenhouse Academy,2017–,0,54708,0
344,Reality-TV,tt6905508,4.9,84,,25 May 2017,60 min,Growing Up Hip Hop: Atlanta,2017–,0,0,0
345,Comedy,tt5990096,7.1,"1,951",TV-MA,03 Aug 2017,30 min,The Guest Book,2017–,0,18,0
346,"Drama, Sci-Fi, Thriller",tt5834204,8.5,"134,901",TV-MA,26 Apr 2017,60 min,The Handmaid's Tale,2017–,97,121,0
347,Comedy,tt7603386,7.6,87,,08 Nov 2017,,Hot Date,2017–,2,1,0
348,"Animation, Comedy, Family, Fantasy, Horror",tt4858114,5.2,412,TV-Y7,04 Jun 2017,21 min,Hotel Transylvania: The Series,2017–,1,4,0
349,"Adventure, Comedy, Family, Mystery",tt6622316,6.7,365,TV-G,11 Mar 2017,22 min,Hunter Street,2017–,12,54708,1
350,"Comedy, Drama, Sci-Fi",tt5620962,6.2,649,TV-G,04 Sep 2017,22 min,I Am Frankie,2017–,20,54708,0
351,Comedy,tt5987254,7.8,"2,833",TV-MA,21 Jun 2017,30 min,I'm Sorry,2017–,180,13,0
352,,tt7390596,4.6,193,,25 Sep 2017,60 min,The Ingraham Angle,2017–,0,54708,0
353,"Animation, Comedy",tt6898698,6.5,131,TV-14,05 Nov 2017,,The Jellies!,2017–,1,16,0
354,"Comedy, News, Talk-Show",tt6987966,7.1,"1,774",TV-14,,21 min,The Jim Jefferies Show,2017–,2,54709,0
355,Game-Show,tt6902652,3.5,245,,24 Oct 2017,30 min,Snoop Dogg presents the Joker's Wild,2017–,0,0,0
356,News,tt7516996,7.2,5,TV-G,15 Oct 2017,120 min,Kasie DC,2017–,0,54708,0
357,"Action, Adventure, Drama, History",tt4555364,6.7,"12,768",TV-14,06 Dec 2017,60 min,Knightfall,2017–,0,54709,0
358,Comedy,tt5957766,7.6,"1,564",,,30 min,Loudermilk,2017–,0,54709,0
359,"Comedy, Drama",tt5788792,8.8,"47,784",TV-MA,17 Mar 2017,57 min,The Marvelous Mrs. Maisel,2017–,584,28,0
360,"Animation, Adventure, Comedy, Family, Sport",tt6264782,6.2,298,TV-Y,15 Jan 2017,21 min,Mickey and the Roadster Racers,2017–,233,158,0
361,"Documentary, Animation, Biography, Comedy, Music",tt7212136,8.4,790,TV-MA,22 Sep 2017,30 min,Mike Judge Presents: Tales from the Tour Bus,2017–,0,0,0
362,"Crime, Drama, Thriller",tt5290382,8.6,"140,261",TV-MA,13 Oct 2017,60 min,Mindhunter,2017–,213,10,0
363,"Mystery, Sci-Fi, Thriller",tt4354880,7.9,"12,096",TV-MA,09 Aug 2017,60 min,Mr. Mercedes,2017–,22,54709,0
364,"Comedy, Drama, Horror, Mystery, Sci-Fi, Talk-Show, Thriller",tt6782014,8.1,"2,819",TV-14,14 Apr 2017,90 min,Mystery Science Theater 3000: The Return,2017–,0,1,0
365,Reality-TV,tt6833398,7.6,148,,08 Apr 2017,,Nate & Jeremiah by Design,2017–2019,0,1383,0
366,"Animation, Adventure, Family, Fantasy",tt6415656,6.5,80,TV-Y,06 Feb 2017,22 min,Nella the Princess Knight,2017–,275,2,0
367,"Animation, Action, Adventure, Comedy, Fantasy, Sci-Fi",tt7343832,5.8,"2,610",TV-MA,22 Sep 2017,23 min,Neo Yokio,2017–,58,54709,0
368,News,tt7482928,1.7,74,,03 Sep 2017,60 min,The Next Revolution with Steve Hilton,2017–,0,13465,0
369,Comedy,tt7230846,6.6,640,TV-MA,12 Nov 2017,30 min,No Activity,2017–,15,45,0
370,Game-Show,tt7861470,,,,23 Oct 2017,22 min,The Noise,2017–2018,5,1,0
371,Comedy,tt5339440,8.3,"10,295",TV-PG,06 Jan 2017,30 min,One Day at a Time,2017–,34,16,0
372,"Adventure, Comedy, Drama, Sci-Fi",tt5691552,8.0,"50,552",TV-14,10 Sep 2017,44 min,The Orville,2017–,317,30,12
373,"Crime, Drama, Thriller",tt5071412,8.3,"112,360",TV-MA,21 Jul 2017,60 min,Ozark,2017–,379,62,4
374,Family,tt7026436,6.2,112,TV-PG,17 Jul 2017,30 min,Parker Plays,2017–,2,1,1
375,"Animation, Comedy, Family, Musical",tt6688750,7.1,525,TV-Y,14 Apr 2017,24 min,Puppy Dog Pals,2017–,244,9,1
376,"Comedy, Family",tt6311972,7.5,"1,870",TV-G,21 Jul 2017,22 min,Raven's Home,2017–,1,16,0
377,Reality-TV,tt7311010,9.6,29,,28 Aug 2017,,Returning the Favor,2017–,0,54709,0
378,"Crime, Drama, Mystery, Romance",tt5420376,7.2,"93,730",TV-14,26 Jan 2017,45 min,Riverdale,2017–,5219,558,12
379,"Drama, Horror, Thriller",tt6064882,6.1,"3,920",TV-MA,28 Jul 2017,30 min,Room 104,2017–,29,1,0
380,"Action, Drama, Sci-Fi",tt1236246,7.1,"17,747",TV-14,21 Nov 2017,60 min,Runaways,2017–,145,11,1
381,"Action, Drama, War",tt6473344,7.3,"11,589",TV-14,,43 min,SEAL Team,2017–,28,3,0
382,Reality-TV,tt7183282,4.8,325,,31 Jul 2017,60 min,Siesta Key,2017–,0,54709,0
383,"Crime, Drama, Mystery, Thriller",tt6048596,8.0,"60,932",TV-14,02 Aug 2017,60 min,The Sinner,2017–,21,5,0
384,"Comedy, Game-Show",tt7084600,4.2,5,,07 Aug 2017,30 min,Snap Decision,2017–,0,54709,0
385,"Crime, Drama",tt6439752,7.9,"7,064",TV-MA,05 Jul 2017,44 min,Snowfall,2017–,9,54709,0
386,"Animation, Action, Adventure, Family, Sci-Fi",tt6135682,6.2,"1,223",TV-Y7,29 Jul 2017,21 min,Spider-Man,2017–,825,74,8
387,"Animation, Adventure, Family, Western",tt6710836,6.3,651,TV-Y7,05 May 2017,23 min,Spirit Riding Free,2017–,255,2,0
388,"Action, Adventure, Drama, Sci-Fi",tt5171438,7.4,"73,029",TV-14,24 Sep 2017,60 min,Star Trek: Discovery,2017–,239,8,10
389,"News, Talk-Show",tt6846190,,,,01 May 2017,60 min,The Story with Martha MacCallum,2017–,0,314,0
390,Reality-TV,tt6645582,5.5,92,TV-14,09 Jan 2017,43 min,Summer House,2017–,1,3,1
391,"Action, Adventure, Crime, Drama, Thriller",tt6111130,6.9,"9,951",TV-14,02 Nov 2017,43 min,S.W.A.T.,2017–,55,8,3
392,Drama,tt6971054,5.7,359,TV-14,27 Jun 2017,60 min,Tales,2017–,577,265,13
393,"Animation, Adventure, Comedy, Family, Fantasy, Musical",tt4902964,7.6,"1,242",TV-Y7,24 Mar 2017,21 min,Tangled: The Series,2017–,138,3,0
394,Animation,tt7917984,7.9,13,,19 Dec 2017,,Tender Touches,2017–,0,54709,0
395,"Documentary, History",tt7053920,8.1,"3,416",TV-14,22 Dec 2017,46 min,The Toys That Made Us,2017–,0,8,0
396,"Animation, Action, Comedy, Family, Fantasy",tt6874502,5.6,714,TV-Y7,27 Oct 2017,14 min,Unikitty!,2017–,4,1,0
397,"Animation, Family, Fantasy, Musical",tt7010622,7.0,448,TV-Y,01 Oct 2017,25 min,Vampirina,2017–,700,10,0
398,"Short, Comedy",tt7061320,8.8,134,,15 May 2017,,Will & Grace: Musical,2017,3,1,0
399,"Family, Game-Show, Reality-TV",tt5895884,7.0,809,TV-PG,30 May 2017,60 min,World of Dance,2017–,9,54709,0
400,Comedy,tt6226232,7.3,"24,824",TV-PG,25 Sep 2017,30 min,Young Sheldon,2017–,31,5,0
401,"Animation, Action, Comedy, Family, Fantasy, Sci-Fi",tt7736544,7.9,"2,450",TV-Y7-FV,21 Dec 2018,24 min,3Below: Tales of Arcadia,2018–,0,265,0
402,"Short, Game-Show",tt8689502,8.4,10,,06 Aug 2018,30 min,25 Words or Less,2018–,0,54709,0
403,"Action, Drama, Thriller",tt7235466,7.6,"13,965",TV-14,03 Jan 2018,43 min,9-1-1,2018–,64,3,31
404,"Animation, Adventure, Comedy, Family, Fantasy",tt9433014,7.9,61,TV-Y,31 Dec 2018,23 min,Abby Hatcher,2018–,7,54709,0
405,"Animation, Comedy, Family",tt8271124,5.7,211,TV-Y,11 May 2018,30 min,The Adventures of Rocky and Bullwinkle,2018–2019,5,2,0
406,,tt8072678,2.9,255,,14 Oct 2018,60 min,The Alec Baldwin Show,2018–,17,8,1
407,"Comedy, Drama",tt6916746,7.2,"1,701",TV-Y7,23 Mar 2018,25 min,Alexa & Katie,2018–,0,1,0
408,"Drama, Sport",tt7414406,7.6,"2,947",TV-14,10 Oct 2018,45 min,All American,2018–,133,31,3
409,"Action, Drama, Sci-Fi, Thriller",tt2261227,8.1,"106,417",TV-MA,02 Feb 2018,60 min,Altered Carbon,2018–,95,23,0
410,,tt8682874,,,,,60 min,Amanpour & Company,2018–,0,465,0
411,Game-Show,tt8305258,7.2,99,,22 Jun 2018,,America Says,2018–,0,54709,0
412,Game-Show,tt10193082,6.9,7,,13 Oct 2018,,American Ninja Warrior Junior,2018–,0,52,0
413,Comedy,tt6461726,7.2,"7,660",TV-13,01 Feb 2018,21 min,A.P. Bio,2018–,0,54709,0
414,Reality-TV,tt8358976,4.9,92,,09 Sep 2018,30 min,Ashlee+Evan,2018–,0,54709,0
415,Reality-TV,tt8463186,3.5,15,,02 Aug 2018,,Bachelorette Weekend,2018–,0,10,0
416,"Animation, Action, Comedy",tt8170404,7.1,146,TV-14,08 Apr 2018,11 min,Ballmastrz 9009,2018–,0,54709,0
417,"Comedy, Crime, Drama",tt5348176,8.3,"27,634",TV-MA,25 Mar 2018,30 min,Barry,2018–,389,86,7
418,Reality-TV,tt9214700,8.6,9,,11 May 2018,44 min,BattleBots,2018–,3,54709,0
419,"Animation, Adventure, Comedy, Family",tt7165904,6.5,477,TV-Y7,18 Jun 2018,22 min,Big City Greens,2018–,2,54709,0
420,"Action, Drama, Sci-Fi",tt6045840,6.2,"17,268",TV-14,16 Jan 2018,43 min,Black Lightning,2018–,108,11,0
421,"Animation, Adventure, Comedy, Family, Fantasy",tt7741824,6.3,"1,489",TV-Y7,06 Apr 2018,25 min,The Boss Baby: Back in Business,2018–,0,63951,0
422,"Animation, Family, Fantasy",tt7833624,8.4,13,,12 Nov 2018,,Butterbean's Café,2018–,2,0,0
423,Comedy,tt8002604,4.8,"2,080",TV-MA,14 Oct 2018,30 min,Camping,2018–,299,246,0
424,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",tt6548228,7.7,"26,081",TV-MA,25 Jul 2018,60 min,Castle Rock,2018–,14,4,1
425,,tt7989904,,,,20 Jan 2018,120 min,Cavuto Live,2018–,0,54709,0
426,"Drama, Fantasy",tt6394324,4.4,"10,019",TV-PG,14 Oct 2018,43 min,Charmed,2018–,1361,1320,25
427,Drama,tt6294706,7.5,"3,176",TV-MA,07 Jan 2018,60 min,The Chi,2018–,6,113,0
428,"Comedy, Family, Game-Show",tt6659624,5.4,227,,05 Jan 2018,43 min,Child Support,2018–,3,54709,0
429,"Drama, Fantasy, Horror, Mystery, Thriller",tt7569592,7.7,"53,114",TV-14,26 Oct 2018,60 min,Chilling Adventures of Sabrina,2018–,66,36,2
430,"Action, Adventure, Drama, Sci-Fi",tt5614844,6.8,"14,124",TV-14,07 Jun 2018,44 min,Cloak & Dagger,2018–,40,2,0
431,"Action, Comedy, Drama, Sport",tt7221388,8.8,"35,954",TV-14,02 May 2018,30 min,Cobra Kai,2018–,470,15,1
432,"Action, Drama, Thriller",tt6510950,7.8,"6,890",TV-MA,06 Jun 2018,60 min,Condor,2018–,98,54709,2
433,Comedy,tt8595140,5.1,"6,073",TV-PG,16 Oct 2018,30 min,The Conners,2018–,12,18,0
434,,tt8558548,,,,,,The Contender,2018–,2,54709,0
435,Comedy,tt5648202,7.5,"1,680",TV-14,17 Jan 2018,30 min,Corporate,2018–,431,18,0
436,Comedy,tt8140732,6.4,81,,24 Nov 2018,30 min,Cousins for Life,2018–,0,46,0
437,"Animation, Adventure, Comedy, Drama, Family",tt7713450,7.4,659,TV-Y7,30 Mar 2018,30 min,Craig of the Creek,2018–,0,54710,0
438,Documentary,tt8994238,8.8,275,,28 Oct 2018,,Crikey! It's the Irwins,2018–,0,11,0
439,"Music, Reality-TV",tt8882486,6.4,5,,05 Oct 2018,,Dancing Queen,2018–,0,54709,0
440,,tt9005714,7.9,58,,15 Sep 2018,,DC Daily,2018–,0,1,0
441,Drama,tt7945720,7.2,"8,917",TV-14,25 Nov 2018,50 min,Dirty John,2018–,0,54709,0
442,"Animation, Adventure, Comedy, Fantasy",tt5363918,7.2,"30,818",TV-14,17 Aug 2018,30 min,Disenchantment,2018–,250,3,2
